ZIP,Year,avg_fire_risk_score,avg_tmax_c,avg_tmin_c,tot_prcp_mm,temp_range,drought_proxy,log_prcp,log_gis_acres,fire_occurred,avg_ppc,high_risk_pct,low_risk_pct,risk_concentration,total_population,poverty_rate,log_median_income,edu_rate,vacancy_rate,vulnerability_index,year_sin,year_cos
90001,2018,0.16599999999999998,29.58854838709677,14.242857142857144,0.0,15.345691244239624,15.345691244239624,0.0,0.0,0,2.33,0.0,0.9999999999998103,-0.9791429654909026,56403.0,0.20447493927627602,11.014555282471584,0.033065617077105244,0.041577368195453525,0.09050163754120032,0.0,1.0
90001,2019,0.142,29.58854838709677,14.242857142857144,0.0,15.345691244239624,15.345691244239624,0.0,0.0,0,1.9260000000000002,0.0,0.9999999999998159,-0.9793852383580012,56403.0,0.20447493927627602,11.014555282471584,0.033065617077105244,0.041577368195453525,0.0842638680795469,1.0,6.123233995736766e-17
90001,2020,0.22,29.58854838709677,14.242857142857144,0.0,15.345691244239624,15.345691244239624,0.0,0.0,0,,0.0,0.9999999999998423,-0.8337273443655108,56403.0,0.20447493927627602,11.014555282471584,0.033065617077105244,0.041577368195453525,0.1045366188299206,1.2246467991473532e-16,-1.0
90001,2021,0.22666666666666666,29.58854838709677,14.242857142857144,0.0,15.345691244239624,15.345691244239624,0.0,0.0,0,,0.00015750511891633997,0.999842494880926,-0.8098913214678201,56403.0,0.20447493927627602,11.014555282471584,0.033065617077105244,0.041577368195453525,0.10626933256926878,-1.0,-1.8369701987210297e-16
90002,2018,0.2075,29.58854838709677,14.242857142857144,0.0,15.345691244239624,15.345691244239624,0.0,0.0,0,1.545,0.0017613386173487974,0.9982386613824309,-0.9733597534123791,52735.0,0.23257798426092288,10.935942232273353,0.036124016307954185,0.03541425260718167,0.3341216002133671,0.0,1.0
90002,2019,0.1825,29.58854838709677,14.242857142857144,0.0,15.345691244239624,15.345691244239624,0.0,0.0,0,1.3975,0.0014950875694144604,0.9985049124303719,-0.9762921828276427,52735.0,0.23257798426092288,10.935942232273353,0.036124016307954185,0.03541425260718167,0.3276239236908114,1.0,6.123233995736766e-17
90002,2020,0.395,29.58854838709677,14.242857142857144,0.0,15.345691244239624,15.345691244239624,0.0,0.0,0,,0.00017108639863127952,0.999486740803935,-0.7921300256628242,52735.0,0.23257798426092288,10.935942232273353,0.036124016307954185,0.03541425260718167,0.38285417413253464,1.2246467991473532e-16,-1.0
90002,2021,0.40166666666666667,29.58854838709677,14.242857142857144,0.0,15.345691244239624,15.345691244239624,0.0,0.0,0,,0.0001700102006120078,0.9994899693979938,-0.7687861271674993,52735.0,0.23257798426092288,10.935942232273353,0.036124016307954185,0.03541425260718167,0.3845868878718829,-1.0,-1.8369701987210297e-16
90003,2018,0.27999999999999997,29.58854838709677,14.242857142857144,0.0,15.345691244239624,15.345691244239624,0.0,0.0,0,1.0916666666666668,0.0,0.9998319045216002,-0.9774752059167965,71708.0,0.26137948346069806,10.91111695182567,0.031990851787805655,0.03896670118262363,0.41689352903842425,0.0,1.0
90003,2019,0.10800000000000001,29.58854838709677,14.242857142857144,0.0,15.345691244239624,15.345691244239624,0.0,0.0,0,1.052,0.0,0.9998377150274261,-0.9763063940277545,71708.0,0.26137948346069806,10.91111695182567,0.031990851787805655,0.03896670118262363,0.3721895145632412,1.0,6.123233995736766e-17
90003,2020,0.38000000000000006,29.58854838709677,14.242857142857144,0.0,15.345691244239624,15.345691244239624,0.0,0.0,0,,0.0,0.9998675145732644,-0.8071012188658178,71708.0,0.26137948346069806,10.91111695182567,0.031990851787805655,0.03896670118262363,0.44288423512864694,1.2246467991473532e-16,-1.0
90003,2021,0.385,29.58854838709677,14.242857142857144,0.0,15.345691244239624,15.345691244239624,0.0,0.0,0,,0.0,0.9997359387376551,-0.7832057037231603,71708.0,0.26137948346069806,10.91111695182567,0.031990851787805655,0.03896670118262363,0.4441837704331581,-1.0,-1.8369701987210297e-16
90004,2018,0.22000000000000003,29.58854838709677,14.242857142857144,0.0,15.345691244239624,15.345691244239624,0.0,0.0,0,1.059,0.0,0.9770687936188178,-0.8331671651708763,58844.0,0.1868329821222183,11.045414725890183,0.20090408537828494,0.08872763572141255,0.3061257423733364,0.0,1.0
90004,2019,0.178,29.58854838709677,14.242857142857144,0.0,15.345691244239624,15.345691244239624,0.0,0.0,0,1.049,0.0,0.9793564055856164,-0.8387978142073956,58844.0,0.1868329821222183,11.045414725890183,0.20090408537828494,0.08872763572141255,0.29520964581544284,1.0,6.123233995736766e-17
90004,2020,0.27166666666666667,29.58854838709677,14.242857142857144,0.0,15.345691244239624,15.345691244239624,0.0,0.0,0,,0.0001713796058268772,0.986632390745332,-0.5907455012852457,58844.0,0.1868329821222183,11.045414725890183,0.20090408537828494,0.08872763572141255,0.31955427385328483,1.2246467991473532e-16,-1.0
90004,2021,0.32333333333333336,29.58854838709677,14.242857142857144,0.0,15.345691244239624,15.345691244239624,0.0,0.0,0,,0.0001631055292774159,0.9802642309572696,-0.5481976839013948,58844.0,0.1868329821222183,11.045414725890183,0.20090408537828494,0.08872763572141255,0.3329828053332332,-1.0,-1.8369701987210297e-16
